team,corners_for,corners_against,xg_for,xg_against,shots_for,shots_against
arsenal,5.8,4.3,1.70,1.20,15.5,10.8
manchester city,6.1,3.2,1.95,0.85,17.2,9.1
liverpool,5.6,4.4,1.80,1.10,16.0,11.0
chelsea,5.0,4.2,1.40,1.15,13.5,10.9
tottenham,5.4,4.0,1.55,1.25,15.2,11.5
aston villa,4.8,4.1,1.30,1.05,13.0,10.5
newcastle,4.5,4.0,1.20,1.10,12.5,11.0
brighton hove albion,4.3,4.6,1.15,1.25,12.0,12.2
west ham,4.1,4.8,1.10,1.30,11.5,12.8
fulham,4.0,5.0,1.05,1.35,11.0,13.0
wolves,4.2,5.1,1.00,1.40,11.2,13.5
bournemouth,3.9,5.3,0.95,1.45,10.8,14.0
brentford,4.0,5.2,0.90,1.40,10.5,13.8
crystal palace,4.1,5.4,1.00,1.55,11.0,14.5
nottingham forest,4.5,5.6,1.20,1.70,12.5,15.0
burnley,3.8,5.5,0.85,1.60,10.0,14.8
luton,3.7,6.0,0.80,1.80,9.8,16.0
sheffield united,3.6,6.1,0.75,1.85,9.5,16.5
everton,4.0,5.0,1.00,1.30,11.0,13.0
manchester united,5.2,4.5,1.60,1.30,14.8,12.0
