date,home,away,home_goals,away_goals
2023-08-19,Empoli,Hellas Verona,0,1
2023-08-19,Frosinone,Napoli,1,3
2023-08-19,Genoa,Fiorentina,1,4
2023-08-20,Inter,Monza,2,0
2023-08-20,Roma,Salernitana,2,2
2023-08-20,Sassuolo,Atalanta,0,2
2023-08-20,Lecce,Lazio,2,1
2023-08-21,Bologna,Milan,0,2
2023-08-21,Torino,Cagliari,0,0
2023-08-21,Udinese,Juventus,0,3
2023-08-26,Frosinone,Atalanta,2,1
2023-08-26,Monza,Empoli,2,0
2023-08-26,Hellas Verona,Roma,2,1
2023-08-27,Milan,Torino,4,1
2023-08-27,Juventus,Bologna,1,1
2023-08-27,Lazio,Genoa,0,1
2023-08-27,Napoli,Sassuolo,2,0
2023-08-28,Salernitana,Udinese,1,1
2023-08-28,Cagliari,Inter,0,2
2023-09-01,Roma,Milan,1,2
2023-09-02,Inter,Fiorentina,4,0
2023-09-02,Udinese,Frosinone,0,0
2023-09-02,Napoli,Lazio,1,2
2023-09-03,Atalanta,Monza,3,0
2023-09-03,Bologna,Cagliari,2,1
2023-09-03,Empoli,Juventus,0,2
2023-09-03,Genoa,Napoli,2,2
2023-09-03,Hellas Verona,Sassuolo,1,3
2023-09-03,Lecce,Salernitana,2,0
2023-09-16,Juventus,Lazio,3,1
2023-09-16,Inter,Milan,5,1
2023-09-16,Genoa,Napoli,2,2
2023-09-17,Monza,Lecce,1,1
2023-09-17,Fiorentina,Atalanta,3,2
2023-09-17,Empoli,Roma,0,7
2023-09-17,Cagliari,Udinese,0,0
2023-09-17,Frosinone,Sassuolo,4,2
2023-09-18,Salernitana,Torino,0,3
2023-09-18,Hellas Verona,Bologna,0,0
2023-09-22,Lecce,Genoa,1,0
2023-09-23,Milan,Hellas Verona,1,0
2023-09-23,Sassuolo,Juventus,4,2
2023-09-23,Lazio,Monza,1,1
2023-09-24,Empoli,Inter,0,1
2023-09-24,Atalanta,Cagliari,2,0
2023-09-24,Udinese,Fiorentina,0,2
2023-09-24,Bologna,Napoli,0,0
2023-09-24,Salernitana,Frosinone,1,1
2023-09-25,Torino,Roma,1,1
2023-09-26,Juventus,Lecce,1,0
2023-09-27,Cagliari,Milan,1,3
2023-09-27,Inter,Sassuolo,1,2
2023-09-27,Lazio,Torino,2,0
2023-09-27,Napoli,Udinese,4,1
2023-09-27,Atalanta,Hellas Verona,1,0
2023-09-28,Frosinone,Fiorentina,1,1
2023-09-28,Genoa,Roma,4,1
2023-09-28,Monza,Bologna,0,0
2023-09-28,Salernitana,Empoli,0,1
2023-09-30,Lecce,Napoli,0,4
2023-09-30,Milan,Lazio,2,0
2023-09-30,Salernitana,Inter,0,4
2023-10-01,Atalanta,Juventus,0,0
2023-10-01,Bologna,Empoli,3,0
2023-10-01,Udinese,Genoa,2,2
2023-10-01,Roma,Frosinone,2,0
2023-10-02,Sassuolo,Monza,0,1
2023-10-02,Torino,Hellas Verona,0,0
2023-10-02,Fiorentina,Cagliari,3,0
2023-10-06,Empoli,Udinese,0,0
2023-10-07,Lecce,Sassuolo,1,1
2023-10-07,Inter,Bologna,2,2
2023-10-07,Juventus,Torino,2,0
2023-10-08,Monza,Salernitana,3,0
2023-10-08,Frosinone,Hellas Verona,2,1
2023-10-08,Cagliari,Roma,1,4
2023-10-08,Atalanta,Lazio,3,2
2023-10-08,Napoli,Fiorentina,1,3
2023-10-08,Genoa,Milan,0,1
2023-10-21,Hellas Verona,Napoli,1,3
2023-10-21,Torino,Inter,0,3
2023-10-21,Sassuolo,Lazio,0,2
2023-10-22,Salernitana,Cagliari,2,2
2023-10-22,Roma,Monza,1,0
2023-10-22,Bologna,Frosinone,2,1
2023-10-22,Atalanta,Genoa,2,0
2023-10-22,Juventus,Milan,1,0
2023-10-23,Fiorentina,Empoli,0,2
2023-10-23,Udinese,Lecce,1,1
2023-10-27,Genoa,Salernitana,1,0
2023-10-28,Lecce,Torino,0,1
2023-10-28,Sassuolo,Bologna,1,1
2023-10-28,Juventus,Hellas Verona,1,0
2023-10-29,Monza,Udinese,1,1
2023-10-29,Cagliari,Frosinone,4,3
2023-10-29,Empoli,Atalanta,0,3
2023-10-29,Milan,Napoli,2,2
2023-10-29,Roma,Inter,0,1
2023-10-30,Lazio,Fiorentina,1,0
2023-11-03,Bologna,Lazio,1,0
2023-11-04,Salernitana,Napoli,0,2
2023-11-04,Atalanta,Inter,1,2
2023-11-04,Milan,Udinese,0,1
2023-11-05,Hellas Verona,Monza,1,3
2023-11-05,Cagliari,Genoa,2,1
2023-11-05,Roma,Lecce,2,1
2023-11-05,Fiorentina,Juventus,0,1
2023-11-06,Frosinone,Empoli,2,1
2023-11-06,Torino,Sassuolo,2,1
