team,corners_for,corners_against,xg_for,xg_against,shots_for,shots_against
Inter,6.1,3.2,1.95,0.85,17.2,9.1
Milan,5.8,4.3,1.70,1.20,15.5,10.8
Juventus,5.4,4.0,1.45,1.10,14.0,11.2
Atalanta,6.0,4.5,1.80,1.15,16.8,11.0
Roma,5.2,4.5,1.60,1.30,14.8,12.0
Napoli,6.0,4.1,1.85,1.10,16.0,11.0
Lazio,5.0,4.2,1.40,1.15,13.5,10.9
Fiorentina,5.6,4.4,1.55,1.25,15.2,11.5
Bologna,4.8,4.1,1.30,1.05,13.0,10.5
Torino,4.5,4.0,1.20,1.10,12.5,11.0
Monza,4.3,4.6,1.15,1.25,12.0,12.2
Genoa,4.1,4.8,1.10,1.30,11.5,12.8
Lecce,4.0,5.0,1.05,1.35,11.0,13.0
Udinese,4.2,5.1,1.00,1.40,11.2,13.5
Cagliari,3.9,5.3,0.95,1.45,10.8,14.0
Hellas Verona,4.0,5.2,0.90,1.40,10.5,13.8
Frosinone,4.1,5.4,1.00,1.55,11.0,14.5
Sassuolo,4.5,5.6,1.20,1.70,12.5,15.0
Empoli,3.8,5.5,0.85,1.60,10.0,14.8
Salernitana,3.7,6.0,0.80,1.80,9.8,16.0
