group,team,pts,gf,ga,gd,mp
Group A,Netherlands,7,5,1,4,3
Group A,Senegal,6,5,4,1,3
Group A,Ecuador,4,4,3,1,3
Group A,Qatar,0,1,7,-6,3
Group B,England,7,9,2,7,3
Group B,USA,5,2,1,1,3
Group B,Iran,3,4,7,-3,3
Group B,Wales,1,1,6,-5,3
Group C,Argentina,6,5,2,3,3
Group C,Poland,4,2,2,0,3
Group C,Mexico,4,2,3,-1,3
Group C,Saudi Arabia,3,3,5,-2,3
Group D,France,6,6,3,3,3
Group D,Australia,6,3,4,-1,3
Group D,Tunisia,4,1,1,0,3
Group D,Denmark,1,1,3,-2,3
Group E,Japan,6,4,3,1,3
Group E,Spain,4,9,3,6,3
Group E,Germany,4,6,5,1,3
Group E,Costa Rica,3,3,11,-8,3
Group F,Morocco,7,4,1,3,3
Group F,Croatia,5,4,1,3,3
Group F,Belgium,4,1,2,-1,3
Group F,Canada,0,2,7,-5,3
Group G,Brazil,6,3,1,2,3
Group G,Switzerland,6,4,3,1,3
Group G,Cameroon,4,4,4,0,3
Group G,Serbia,1,5,8,-3,3
Group H,Portugal,6,6,4,2,3
Group H,South Korea,4,4,4,0,3
Group H,Uruguay,4,2,2,0,3
Group H,Ghana,3,5,7,-2,3
