team,attack_home,defense_home,attack_away,defense_away
argentina,1.85,0.65,1.70,0.75
france,1.90,0.80,1.75,0.85
croatia,1.40,0.90,1.30,0.95
morocco,1.20,0.70,1.10,0.80
england,1.75,0.85,1.60,0.90
portugal,1.65,0.90,1.55,0.95
brazil,1.80,0.75,1.70,0.80
netherlands,1.55,0.85,1.45,0.90
spain,1.60,0.90,1.50,0.95
germany,1.70,1.00,1.60,1.05
japan,1.30,0.95,1.20,1.00
south_korea,1.15,1.05,1.05,1.10
switzerland,1.25,0.95,1.15,1.00
usa,1.20,1.00,1.10,1.05
australia,1.10,1.05,1.00,1.10
senegal,1.35,0.95,1.25,1.00
poland,1.10,1.00,1.00,1.05
mexico,1.20,1.05,1.10,1.10
uruguay,1.40,0.95,1.30,1.00
serbia,1.35,1.10,1.25,1.15
cameroon,1.15,1.10,1.05,1.15
ghana,1.10,1.15,1.00,1.20
tunisia,1.00,1.00,0.95,1.05
qatar,0.85,1.25,0.80,1.30
saudi_arabia,1.00,1.10,0.95,1.15
iran,0.95,1.15,0.90,1.20
wales,1.05,1.10,1.00,1.15
denmark,1.30,0.90,1.20,0.95
belgium,1.60,1.00,1.50,1.05
canada,1.10,1.20,1.00,1.25
ecuador,1.20,1.00,1.10,1.05
