home,away,prob_1,prob_x,prob_2,tipster_pick,tipster_confidence,totofra_score
Torino FC,US Sassuolo Calcio,45,30,25,N/D,0,23
Cagliari Calcio,Udinese Calcio,45,30,25,N/D,0,23
SS Lazio,FC Internazionale Milano,45,30,25,N/D,0,23
US Lecce,Juventus FC,45,30,25,N/D,0,23
Hellas Verona FC,Como 1907,45,30,25,N/D,0,23
ACF Fiorentina,Genoa CFC,45,30,25,N/D,0,23
US Cremonese,AC Pisa 1909,45,30,25,N/D,0,23
Parma Calcio 1913,AS Roma,45,30,25,N/D,0,23
AC Milan,Atalanta BC,45,30,25,N/D,0,23
SSC Napoli,Bologna FC 1909,45,30,25,N/D,0,23
